Date,Close,High,Low,Open,Volume
,MSFT,MSFT,MSFT,MSFT,MSFT
2020-01-02,152.7911376953125,152.89577671233235,150.61276208742146,151.04082551521063,22622100
2020-01-03,150.88861083984375,152.15378632137134,150.35590842973784,150.6032449166099,21116200
2020-01-06,151.27867126464844,151.34526634147608,148.8814952548052,149.42371968592403,20813700
2020-01-07,149.8992919921875,151.88741845287856,149.65197004750095,151.55448674061407,21634100
2020-01-08,152.28692626953125,152.96232599817733,150.25123424177713,151.18346324120319,27746500
2020-01-09,154.18948364257812,154.31315188987753,153.18115197551302,153.95166902241928,21385000
2020-01-10,153.47601318359375,155.2643834620675,153.32380836945768,154.88388594177735,20725900
2020-01-13,155.3214874267578,155.35002402068366,153.39994118378453,153.87557043595248,21626500
2020-01-14,154.2275390625,155.62589016260503,153.83751960953416,155.4261194989962,23477400
2020-01-15,155.226318359375,155.94928393806296,154.64606474602718,154.6936160477414,21417900
2020-01-16,158.0706329345703,158.13722800089548,156.0349401998481,156.33934990581398,23865400
2020-01-17,158.9552764892578,159.30723743482343,157.36666226753334,159.25967161419416,34371700
2020-01-21,158.38450622558594,159.99213506764096,158.31791117766664,158.55572575157893,29517200
2020-01-22,157.62351989746094,159.32628062584678,157.60449066453182,159.2406563351917,24138800
2020-01-23,158.59378051757812,158.6698829212633,157.21445892402645,158.08961479383197,19680800
2020-01-24,156.9956817626953,159.3643204314718,156.43444278382523,159.34529119903766,24918100
2020-01-27,154.37020874023438,155.41659876422113,152.39158956809186,153.2952821260526,32078100
2020-01-28,157.39523315429688,157.68059908383785,155.12172598695543,155.79711137360556,24899900
2020-01-29,159.84947204589844,160.5248719679126,157.61402327863624,159.65922324879887,34754500
2020-01-30,164.3583984375,165.56650047306658,162.46538930421445,165.56650047306658,51597500
2020-01-31,161.93270874023438,163.99693766743874,161.3143966039244,163.81621076924645,36142700
2020-02-03,165.88046264648438,165.9946090221985,162.094443348034,162.1229799419625,30107000
2020-02-04,171.34068298339844,171.83534148669108,167.71639028102626,168.5059366082836,36433300
2020-02-05,171.13137817382812,175.221792144728,169.71401246551764,175.0600799605943,39186300
2020-02-06,174.67962646484375,174.86036792653152,171.2836261964276,172.14927503132444,27751400
2020-02-07,174.9268798828125,176.5820744714709,173.58560226002288,173.93757768450857,33529100
2020-02-10,179.50242614746094,179.6356017198376,174.31807166666005,174.63198862620123,35844300
